epoch,loss,full_ce,onehand_ce,alignment,supcon,hand_type_ce,full_top1,onehand_top1,hand_type_top1,pair_cosine,seconds
0,0.07390534736038792,0.02067294655979087,0.006999975417713513,0.07829593967961979,0.010197151759637311,0.2614858239957073,0.904,0.8924528301886793,0.9596666666666667,0.9060646540323893,42.70257925987244
1,0.02303129690673392,0.006111780978132048,0.0021146927357145765,0.03700111321616178,0.008242110822209789,0.05142439294781238,0.909,0.8962264150943396,0.9656666666666667,0.9232850322723388,31.68137812614441
2,0.01513617423052175,0.004218144666982166,0.0010421984294279895,0.027270662491656102,0.007473608799078265,0.026844849998463996,0.9096666666666666,0.8990566037735849,0.9683333333333334,0.9302051169077555,31.86010503768921
3,0.011343888796564405,0.0033057121089242326,0.00045614314227443036,0.022784069667584582,0.007813182597110504,0.014953569902162208,0.909,0.8981132075471698,0.9693333333333334,0.9338366667429606,32.15620183944702
4,0.009283898144584312,0.0027514635944564606,0.00028241858507247885,0.020164466259451425,0.007191461379034455,0.008493263277537709,0.9083333333333333,0.8990566037735849,0.9703333333333334,0.9371131229400634,33.47467756271362
5,0.007957879292567638,0.002312048586457802,0.00020810867809272816,0.018036328310804258,0.006626889311739782,0.0059729549411062155,0.9106666666666666,0.9047169811320754,0.9723333333333334,0.9391917139689128,32.33495306968689
6,0.007240260420634279,0.0020057110331578964,0.00016344621320843158,0.017237298695914397,0.0061636263194390604,0.0045359719511694555,0.9093333333333333,0.9037735849056604,0.973,0.9389475975036621,32.51831555366516
7,0.006556166168190465,0.0017620754690550074,0.0001306263522523874,0.015661875440036825,0.007747526775340597,0.003606191225252981,0.9123333333333333,0.9028301886792452,0.9733333333333334,0.9412775662740072,32.29167580604553
8,0.00617062582832997,0.0015773468945785936,0.00010819892067758771,0.015205903830781681,0.007781248981220499,0.002945415983544006,0.911,0.9037735849056604,0.9733333333333334,0.9406569112141927,32.18882918357849
9,0.005697087299383966,0.0014191765796595284,8.87729513206325e-05,0.014434911640373792,0.0068077539533462844,0.0024002216223220174,0.9113333333333333,0.9037735849056604,0.974,0.942636199315389,31.962651014328003
10,0.005290595724601327,0.001279900344858045,7.43671767491796e-05,0.013834406415276827,0.00537671442691395,0.0020889085444064336,0.9116666666666666,0.9066037735849056,0.9743333333333334,0.9422950763702392,31.51346230506897
11,0.00504133884362381,0.001175452381662804,6.26389387091951e-05,0.01358942275633673,0.004541635460288413,0.0017881005289126664,0.9126666666666666,0.9056603773584906,0.9746666666666667,0.9418223336537679,31.373425245285034
12,0.004953285601610939,0.0010863018836148874,5.4314125125606906e-05,0.013167351590333208,0.00735128893437639,0.00153267242265567,0.914,0.9056603773584906,0.9756666666666667,0.942400707244873,31.428092002868652
13,0.004733121382467712,0.0010021212989291888,4.6216281564419145e-05,0.012974587027857455,0.006146547130035882,0.0013380968862832213,0.9136666666666666,0.9047169811320754,0.975,0.9430360832214355,31.5177059173584
14,0.004478447609377061,0.0009330384174292654,4.0535216981923874e-05,0.012475469661389878,0.005427721476114827,0.0011462048654721406,0.9136666666666666,0.9018867924528302,0.9756666666666667,0.942719554901123,31.724220275878906
15,0.004360692501639707,0.0008656085217307383,3.4343803199768156e-05,0.01219168862740888,0.006170863810448692,0.0010427483204236117,0.9136666666666666,0.9084905660377358,0.976,0.9434287249247233,31.738202333450317
16,0.004251198804756506,0.0008087253783288362,3.05319729720911e-05,0.011888411685522859,0.007039907112740823,0.0008784319001766888,0.9113333333333333,0.9,0.976,0.9428774439493816,34.42253232002258
17,0.004117915873105741,0.0007583862842612129,2.602611255803521e-05,0.011877074284317071,0.005698928468249123,0.0007928846671786727,0.9106666666666666,0.9018867924528302,0.976,0.9425825284322102,33.336121797561646
18,0.003965588698231143,0.0007158719488950386,2.3348648818299855e-05,0.011575675239980765,0.0052148458664486716,0.0007170701220253437,0.91,0.9009433962264151,0.977,0.9417386105855305,35.27815532684326
19,0.004037525314503851,0.0006736150398668815,2.057968799206109e-05,0.011889231398499539,0.006138547091900785,0.0006409538328735605,0.9116666666666666,0.9018867924528302,0.977,0.9424923941294352,32.510326862335205
20,0.003778762599523329,0.0006321359828124036,1.7815078182812758e-05,0.011010324773402486,0.006411811365454574,0.0005563979263568398,0.91,0.9009433962264151,0.9773333333333334,0.9435698267618815,32.516120195388794
21,0.003729481427841864,0.0006118879268258191,1.6434336153722322e-05,0.011112158990897734,0.00545290530668992,0.0005047412912673992,0.9143333333333333,0.9075471698113208,0.9766666666666667,0.9421792907714843,32.18678092956543
22,0.003705648631221961,0.0005710828314769963,1.430623219037826e-05,0.011088168459360616,0.006030650093260145,0.00046684948086595895,0.9133333333333333,0.9028301886792452,0.9776666666666667,0.9431531314849854,32.29700303077698
23,0.0035910750175968116,0.0005331447346238281,1.2233934301356965e-05,0.010860876802977175,0.005760015263301891,0.0004247638187179628,0.912,0.8962264150943396,0.9773333333333334,0.942462153116862,32.16045427322388
