epoch,loss,classification,alignment,supcon,full_top1,pair_cosine,seconds
0,4.809313770291644,4.707959241646513,0.08107450538167217,0.20280049184918378,0.403,0.9158806527455647,56.97036004066467
1,2.6240861964326503,2.4587180461781752,0.15969685584220564,0.05671294047775761,0.729,0.910627093633016,38.68156909942627
2,1.332429735971234,1.1518483074977977,0.1773110524081696,0.032703741407405014,0.8116666666666666,0.9072820173899333,43.22940230369568
3,0.7394481799272211,0.5575968204192487,0.17934127812362233,0.02510080142420929,0.837,0.9214806690216064,57.075844287872314
4,0.48562796231651667,0.3134941036254002,0.17038408801214733,0.017497705835381003,0.8673333333333333,0.9220475673675537,44.06408071517944
5,0.3566582935510383,0.19565853977868736,0.15965492252325889,0.013448302735745814,0.8746666666666667,0.9276668249766032,40.42802619934082
6,0.2927236229923531,0.14001797025657534,0.15127985189696377,0.014257990097188408,0.873,0.9338014551798502,43.872596979141235
7,0.24886562049137054,0.10753481012862445,0.14010569904548792,0.012251120873337351,0.874,0.9358272323608399,42.88581728935242
8,0.2173606876216784,0.08227844960691003,0.1338310292131879,0.012512085833813526,0.8806666666666667,0.9385342585245768,40.17124581336975
9,0.1923428398795378,0.06556142271948452,0.12568432029045926,0.010970968974280787,0.8723333333333333,0.9432464421590169,43.62193322181702
10,0.17338379274507829,0.05162849304926297,0.12070890045017567,0.010463995803110276,0.8956666666666667,0.9478839607238769,42.27602791786194
11,0.15915354854210445,0.043465740981617186,0.11456554010758963,0.011222678130007543,0.874,0.9460276317596436,40.874346017837524
12,0.1435411552086138,0.03660180876232404,0.1060134526594814,0.009258936372417223,0.8893333333333333,0.951873576482137,43.477519512176514
13,0.1308552034369887,0.02786159349101363,0.10187100209685095,0.011226075369436423,0.8893333333333333,0.9528754177093506,42.520405530929565
14,0.12196450097470223,0.026215125729381866,0.09463472900614357,0.01114646514203778,0.8966666666666666,0.9557592678070068,43.665621519088745
15,0.1125715572183195,0.021141612641339385,0.0903329561293218,0.010969889118906284,0.8886666666666667,0.9571745936075846,44.3412983417511
16,0.10544042639833624,0.017259349314835977,0.08702743429196048,0.01153642886846575,0.8896666666666667,0.9581362730662027,40.06204915046692
17,0.10355602059996284,0.01973015519898871,0.08290982991291307,0.009160356042330493,0.9016666666666666,0.9594465421040853,42.29799175262451
18,0.09562615810340315,0.014481424787733104,0.08004559896934396,0.010991341807403802,0.8976666666666666,0.9612148691813152,43.30834937095642
19,0.09532181828077539,0.016464078186395892,0.07794225912426005,0.009154807786981821,0.8873333333333333,0.9610395565032959,40.042827129364014
20,0.09012652250337738,0.014885738476997373,0.07416200196448766,0.010787818175780924,0.8973333333333333,0.9592890917460124,43.39993715286255
21,0.0882929056279787,0.013556031449761077,0.07371391690331404,0.010229573611394548,0.8896666666666667,0.9637103118896484,43.047441482543945
22,0.08796556770291253,0.017499852185057837,0.06942300069377187,0.01042714870742143,0.904,0.966135040918986,40.50464844703674
23,0.07746506469274113,0.010934193715698974,0.06547882349750374,0.010520475505059471,0.8903333333333333,0.9634588069915772,44.05934023857117
24,0.07523604566867163,0.01359116125936573,0.06030225707394085,0.013426272000157358,0.885,0.9652610155741373,42.66714525222778
25,0.07937305345253226,0.01597787482312025,0.06218920459555392,0.012059740896142269,0.8966666666666666,0.9645811386108398,41.285887241363525
26,0.07259612505452379,0.010068203964284527,0.06140805229839548,0.011198690262587303,0.8956666666666667,0.9677110335032145,45.32280397415161
27,0.07228969077130067,0.01402359575060939,0.057382142276055606,0.008839528508151348,0.9006666666666666,0.9680155194600423,45.564048290252686
28,0.07149929929030109,0.014312461028451276,0.05620528328463796,0.00981555203477462,0.8843333333333333,0.9641070238749186,41.8094916343689
29,0.07700025559479007,0.020263371488418242,0.05579975475357298,0.009371292917151067,0.891,0.9695262533823649,45.18538165092468
30,0.058978706644671954,0.005473579927002781,0.05262482453246156,0.008803021359077845,0.8936666666666667,0.9693573983510335,44.521894216537476
31,0.07355320376685945,0.019288311757151247,0.05335639597098775,0.009084960633393046,0.9056666666666666,0.9674857031504314,42.25136995315552
32,0.05854965602365638,0.006580371057515743,0.051180248681189935,0.007890360870174707,0.8983333333333333,0.9641102428436279,46.259076833724976
33,0.06383576151915515,0.014819732057749219,0.04785926967083891,0.011567594529470657,0.9086666666666666,0.9673342819213867,45.07241892814636
34,0.05981875084131817,0.00814939887376371,0.05054613749053655,0.011232142345571825,0.901,0.9690774784088135,42.99042868614197
35,0.0542259489185901,0.008377732070629796,0.04496707943696193,0.00881137295460632,0.8963333333333333,0.964066697438558,45.62710404396057
36,0.04676095232755204,0.002746745568346203,0.04302641328557587,0.009877933882224924,0.905,0.9682569802602132,43.17219018936157
37,0.045532559259006226,0.003831440920506935,0.04075032234032843,0.009507959939279317,0.8993333333333333,0.9686764259338378,43.74298071861267
38,0.04760947037378046,0.005866361675920263,0.04057901032055275,0.011640982493204834,0.8903333333333333,0.9667809441884359,45.827467918395996
39,0.04877371223275201,0.0066416899834970565,0.041146635571823985,0.009853867337203752,0.8936666666666667,0.9669773089090983,42.292330503463745
