epoch,train_loss,train_acc,val_loss,val_micro_top1,val_macro_top1,seconds
0,5.886474609375,0.0,5.88582706451416,0.0,0.0,16.00397539138794
1,5.886474609375,0.0,5.88582706451416,0.0,0.0,0.31874752044677734
2,5.886474609375,0.0,3.155435085296631,0.9375,0.5,0.41060614585876465
3,3.15582275390625,0.9375,1.7579939365386963,0.9375,0.5,0.2694368362426758
4,1.758453369140625,0.9375,1.0792291164398193,0.9375,0.5,0.2783632278442383
5,1.0794525146484375,0.9375,0.7748254537582397,0.9375,0.5,0.2477741241455078
6,0.7748565673828125,0.9375,0.6296111941337585,0.9375,0.5,0.276263952255249
7,0.6295547485351562,0.9375,0.5348316431045532,0.9375,0.5,0.18386244773864746
8,0.5348014831542969,0.9375,0.4580881893634796,0.9375,0.5,0.2178661823272705
9,0.4580879211425781,0.9375,0.3932475447654724,0.9375,0.5,0.2742643356323242
10,0.3932952880859375,0.9375,0.3372887670993805,0.9375,0.5,0.25519227981567383
11,0.3371086120605469,0.9375,0.2842082977294922,0.9375,0.5,0.22895503044128418
12,0.28418540954589844,0.9375,0.22928929328918457,0.9375,0.5,0.25315284729003906
13,0.2293243408203125,0.9375,0.17291931807994843,0.9375,0.5,0.2702903747558594
14,0.17302703857421875,0.9375,0.12370454519987106,1.0,1.0,0.26407623291015625
15,0.12363433837890625,1.0,0.09402386844158173,1.0,1.0,0.26358795166015625
