epoch,train_loss,train_acc,val_loss,val_micro_top1,val_macro_top1,seconds
0,6.97998046875,0.0,6.979955673217773,0.0,0.0,18.028969526290894
1,6.97998046875,0.0,6.979955673217773,0.0,0.0,0.30108022689819336
2,6.97998046875,0.0,6.170612335205078,0.0,0.0,0.313309907913208
3,6.1715087890625,0.0,4.656060695648193,0.0,0.0,0.19690465927124023
4,4.6572265625,0.0,2.9508140087127686,0.9375,0.5,0.1864316463470459
5,2.95172119140625,0.9375,1.6526217460632324,0.9375,0.5,0.1618509292602539
6,1.6534423828125,0.9375,0.9300857782363892,0.9375,0.5,0.163435697555542
7,0.93017578125,0.9375,0.6517190933227539,0.9375,0.5,0.18386101722717285
8,0.6517562866210938,0.9375,0.5345779657363892,0.9375,0.5,0.17407727241516113
9,0.534759521484375,0.9375,0.4637945294380188,0.9375,0.5,0.21687769889831543
10,0.4638214111328125,0.9375,0.39807063341140747,0.9375,0.5,0.20938658714294434
11,0.3980522155761719,0.9375,0.3359019458293915,0.9375,0.5,0.1994168758392334
12,0.3359565734863281,0.9375,0.2941367030143738,0.9375,0.5,0.2088623046875
13,0.2941703796386719,0.9375,0.26218825578689575,0.9375,0.5,0.17992544174194336
14,0.2622489929199219,0.9375,0.21294951438903809,0.9375,0.5,0.17662286758422852
15,0.21299362182617188,0.9375,0.15904012322425842,0.96875,0.75,0.17834138870239258
16,0.1590595245361328,0.96875,0.11661151051521301,0.96875,0.75,0.20265579223632812
