epoch,train_loss,train_acc,val_loss,val_micro_top1,val_macro_top1,seconds
0,5.464621813848121,0.023682454969979987,5.039546452840169,0.07233333333333333,0.07233333587646484,43.21674394607544
1,4.4447441957833,0.1953524571936847,4.046915186564128,0.328,0.3280000388622284,29.788711309432983
2,3.3424612719243383,0.5209028241049589,3.0032908617655436,0.5993333333333334,0.5993333458900452,30.110139846801758
3,2.182579049010104,0.7596175227929731,1.994705659866333,0.7433333333333333,0.7433333992958069,30.508708477020264
4,1.1968519038191259,0.8685790527018012,1.3266150376001993,0.789,0.7889999747276306,30.3468279838562
5,0.6043466911969091,0.921836780075606,0.967727536201477,0.812,0.8119999766349792,30.62264347076416
6,0.34254193449115816,0.9445185679341783,0.7488740702470144,0.864,0.8640000224113464,30.468481302261353
7,0.22798973543261697,0.9568601289748722,0.6809252348740895,0.8596666666666667,0.859666645526886,29.698242664337158
8,0.15986272401748192,0.9667556148543474,0.6680542862216632,0.872,0.8720000386238098,30.534155130386353
9,0.11400953080353536,0.9728708027573938,0.6076134826739629,0.883,0.8829999566078186,29.901421546936035
10,0.09769035790638311,0.9768734712030243,0.6449651402334372,0.8763333333333333,0.8763332962989807,29.672677755355835
11,0.07237647262074456,0.981320880587058,0.6143067396382491,0.8826666666666667,0.8826667070388794,29.30586552619934
12,0.06274574492702438,0.98421169668668,0.6282998485565185,0.8863333333333333,0.8863332867622375,28.824310541152954
13,0.05221606817196708,0.9867689570824995,0.6069823316782713,0.9003333333333333,0.9003332257270813,30.181756496429443
14,0.0434728585430482,0.987769624193907,0.6407714434663455,0.8906666666666667,0.8906667232513428,29.92764186859131
15,0.03596684777368194,0.9898821436513231,0.6230239251119395,0.89,0.8899999856948853,29.043404817581177
16,0.033468713250350016,0.9903268845897265,0.6881168651555976,0.8856666666666667,0.8856666088104248,28.3522469997406
17,0.031145691023367044,0.9913275517011341,0.6695603477060795,0.8846666666666667,0.8846667408943176,29.099231004714966
18,0.03458184543280488,0.9909939959973315,0.6499823919621607,0.9003333333333333,0.9003333449363708,29.76799249649048
19,0.026869160958812425,0.992772959750945,0.6908138979586462,0.892,0.8919999003410339,29.016461610794067
20,0.03519177833132567,0.9902156993551257,0.70069897668312,0.8933333333333333,0.8933333158493042,29.66468071937561
21,0.02827482290312479,0.9924394040471426,0.6988714895385008,0.8973333333333333,0.8973333835601807,29.53527808189392
22,0.02532723725624076,0.9926617745163442,0.7299191397080819,0.882,0.8819999098777771,29.36991047859192
23,0.029398586886815025,0.992772959750945,0.713997215533629,0.8953333333333333,0.8953333497047424,29.615169525146484
24,0.01631963153613894,0.9957749610851679,0.7249448627972355,0.8976666666666666,0.8976666331291199,28.706590175628662
25,0.017511030117723713,0.9951078496775628,0.7286529599986971,0.892,0.8920000195503235,32.48297691345215
26,0.022122068619341063,0.9933288859239493,0.6917780078401168,0.8976666666666666,0.8976666331291199,31.574346780776978
27,0.025244593010601904,0.9936624416277519,0.8032506028177837,0.8786666666666667,0.8786665797233582,30.84460711479187
28,0.027668422133174504,0.992772959750945,0.7501774963351587,0.8856666666666667,0.8856667280197144,30.936409950256348
29,0.023697970110706842,0.9943295530353569,0.7304441977987687,0.8986666666666666,0.8986666798591614,30.24363899230957
30,0.011135656899390074,0.9975539248387814,0.7340313417833919,0.9013333333333333,0.9013333320617676,31.791854858398438
31,0.01608200156214186,0.9962197020235712,0.7420903965885131,0.902,0.9019998908042908,32.97951006889343
32,0.021310702797993835,0.9956637758505671,0.6880957893474648,0.9056666666666666,0.905666708946228,33.96649765968323
33,0.012803593489337503,0.9971091839003781,0.7445694596135678,0.896,0.8959999680519104,34.776082277297974
34,0.010924607296638921,0.9966644429619747,0.7706600761284741,0.9,0.8999999165534973,34.78236365318298
35,0.024742502807802113,0.9944407382699577,0.7900810258675677,0.8903333333333333,0.890333354473114,26.771912813186646
36,0.014056457740507153,0.9963308872581721,0.7314477322846651,0.9013333333333333,0.9013333320617676,19.76480221748352
37,0.011573895629787806,0.9977762953079831,0.717511424691882,0.9086666666666666,0.9086666703224182,26.590381622314453
38,0.002753303319792337,0.9994440738269957,0.6826939755234246,0.9153333333333333,0.9153333306312561,26.14342474937439
39,0.012536627135065787,0.9973315543695798,0.6881119833072492,0.9136666666666666,0.9136666655540466,24.65929627418518
40,0.019426793675171368,0.994996664442962,0.7198429099346201,0.905,0.9049999713897705,24.885666847229004
41,0.012313587389337983,0.9968868134311764,0.7503595063926186,0.904,0.9040000438690186,26.470101594924927
42,0.008556227923128799,0.9981098510117856,0.7174770181129376,0.908,0.9079999923706055,20.25855565071106
43,0.017732729057166108,0.9965532577273738,0.7639824128532782,0.9053333333333333,0.9053333401679993,18.774109363555908
44,0.01850344042844817,0.9959973315543695,0.7481449785505732,0.9043333333333333,0.9043334126472473,25.139568567276
45,0.0026300847729179683,0.9993328885923949,0.754237692721188,0.91,0.9100000262260437,15.711567878723145
46,0.002915080505024997,0.9993328885923949,0.7386226548309205,0.9126666666666666,0.9126667380332947,24.093403816223145
47,0.0006981426831322403,0.9997776295307983,0.7465069174083571,0.9146666666666666,0.9146665334701538,24.7465181350708
48,8.578130290697542e-05,1.0,0.748016977154902,0.915,0.9150000214576721,24.617462635040283
49,7.942458749321108e-05,1.0,0.7458810326108942,0.9156666666666666,0.9156666994094849,24.694549560546875
50,6.451731606115096e-05,1.0,0.744633204760806,0.9173333333333333,0.9173332452774048,24.297977685928345
51,5.642875237069396e-05,1.0,0.7433916091778859,0.9173333333333333,0.9173333644866943,24.09152841567993
52,5.120306723325126e-05,1.0,0.750893998816396,0.9153333333333333,0.9153333306312561,24.297688484191895
53,4.544750117767857e-05,1.0,0.7501572655210718,0.917,0.9169999957084656,24.19917631149292
54,4.1673415126550294e-05,1.0,0.7526310576088048,0.9166666666666666,0.9166666865348816,23.940843105316162
55,3.780929252839974e-05,1.0,0.7545549947583932,0.916,0.9159999489784241,23.34489107131958
56,3.5118826076616994e-05,1.0,0.7556242042633433,0.9166666666666666,0.9166666865348816,23.577229499816895
57,3.295786942220514e-05,1.0,0.7570301752984911,0.9173333333333333,0.9173333644866943,23.417125940322876
58,2.9947695690763243e-05,1.0,0.7566147859336925,0.9173333333333333,0.9173332452774048,23.848469495773315
59,2.7743357670474162e-05,1.0,0.7614610716816194,0.917,0.9169999957084656,23.731853008270264
60,2.5632754150485632e-05,1.0,0.7643033180601972,0.918,0.9179999828338623,23.001713514328003
61,2.4864110041120623e-05,1.0,0.7651085535376915,0.9186666666666666,0.918666660785675,28.62450122833252
62,0.01927630365067173,0.9953302201467645,0.7934046333291723,0.9016666666666666,0.9016666412353516,29.07939052581787
63,0.001336318746205831,0.9996664442961974,0.752325213503015,0.9096666666666666,0.9096666574478149,29.85239267349243
64,8.24662534719259e-05,1.0,0.7443436965066164,0.915,0.9150000214576721,30.427398443222046
65,5.671516481653595e-05,1.0,0.7521241392388086,0.9153333333333333,0.9153333306312561,28.42599058151245
66,5.2451318652199885e-05,1.0,0.7574326562388257,0.9156666666666666,0.9156666994094849,28.740870475769043
67,4.2103027168156864e-05,1.0,0.7624602762385039,0.916,0.9160000681877136,29.25606870651245
68,3.671375730182426e-05,1.0,0.7660190060609409,0.9163333333333333,0.9163333177566528,35.56950068473816
69,3.425282903955013e-05,1.0,0.7716018673084909,0.916,0.9159999489784241,34.39610052108765
70,0.0004571405733747696,0.9997776295307983,0.7645663260604294,0.9163333333333333,0.9163333177566528,31.22502374649048
71,3.1715357120709866e-05,1.0,0.7736968951901265,0.9146666666666666,0.9146666526794434,31.457420587539673
72,2.9413719189970233e-05,1.0,0.7800218372813736,0.9156666666666666,0.9156666994094849,36.63737607002258
73,2.5791885430266227e-05,1.0,0.7840116875633248,0.916,0.9159999489784241,31.146657705307007
74,2.416943825163363e-05,1.0,0.7835533587054622,0.917,0.9169999361038208,29.94181203842163
75,2.39749842281736e-05,1.0,0.7847395272892512,0.917,0.9169999957084656,29.951473474502563
76,2.0713296656558744e-05,1.0,0.7863220503142414,0.9176666666666666,0.9176666140556335,30.88391351699829
