epoch,train_loss,train_acc,val_loss,val_micro_top1,val_macro_top1,seconds
0,5.4827647685262395,0.026573271069601955,5.043361974080404,0.077,0.07699999958276749,95.77039432525635
1,4.390359957853847,0.21036246386479876,3.934459467569987,0.353,0.35300004482269287,45.23291826248169
2,3.185334276670558,0.5634867689570825,2.7597230987548826,0.6543333333333333,0.6543332934379578,42.22724914550781
3,1.9327604850716449,0.8068712474983322,1.7402113978068035,0.7686666666666667,0.768666684627533,40.706732511520386
4,0.9718063656478451,0.8988214365132311,1.0314328527450563,0.8466666666666667,0.846666693687439,41.419918060302734
5,0.45561432027275994,0.9401823437847454,0.758262597878774,0.8646666666666667,0.8646666407585144,42.871408462524414
6,0.2533905948828082,0.9570824994440739,0.7074701693852743,0.8606666666666667,0.8606666326522827,41.140143156051636
7,0.16711777222005425,0.9673115410273516,0.6054133859674136,0.884,0.8839999437332153,40.008098125457764
8,0.11246768755464255,0.974872136980209,0.604153571108977,0.8866666666666667,0.8866666555404663,41.10092735290527
9,0.09399430815951411,0.9776517678452301,0.5964415842692057,0.8836666666666667,0.8836666941642761,41.03924536705017
10,0.07140363532488998,0.9818768067600623,0.5859427332679431,0.8946666666666667,0.8946667313575745,41.03158617019653
11,0.05400111777585746,0.9864354013786969,0.5819806061834097,0.8976666666666666,0.8976667523384094,39.90742206573486
12,0.04961829082632372,0.9875472537247053,0.6051350405414899,0.8926666666666667,0.8926666378974915,40.59628176689148
13,0.046269286651730086,0.988547920836113,0.6014561837663254,0.892,0.8920000195503235,41.73447823524475
14,0.03669684045124457,0.9909939959973315,0.5788254715117316,0.902,0.9019998908042908,40.827606201171875
15,0.0387943658612425,0.9889926617745164,0.6365986230249207,0.894,0.8939999341964722,40.267916202545166
16,0.026619097219988428,0.993551256393151,0.6404617895558476,0.894,0.8940000534057617,41.92386293411255
17,0.029093857418040794,0.9936624416277519,0.6104047736264765,0.9003333333333333,0.9003334641456604,39.747782707214355
18,0.02815019926654781,0.9923282188125417,0.636867390645047,0.8936666666666667,0.8936665654182434,40.27255654335022
19,0.029974901612557277,0.9918834778741383,0.6391520515015969,0.9003333333333333,0.9003333449363708,41.31635880470276
20,0.033404695807442764,0.9914387369357349,0.6494590757867942,0.898,0.8980000019073486,41.2985577583313
21,0.02768384290319404,0.9936624416277519,0.5760282846726477,0.9143333333333333,0.9143334031105042,39.85507416725159
22,0.018754532503132717,0.9959973315543695,0.6368438022596141,0.9036666666666666,0.9036666750907898,39.82655334472656
23,0.023518750541390965,0.9945519235045586,0.6121027601535122,0.9046666666666666,0.9046666622161865,40.99628734588623
24,0.024046887390767838,0.9936624416277519,0.6828768776155387,0.884,0.8840000629425049,41.795395612716675
25,0.027380873421602628,0.9939959973315544,0.7050051580791672,0.8913333333333333,0.8913334012031555,41.08389091491699
26,0.019697334942935386,0.9951078496775628,0.6471377441473305,0.9046666666666666,0.9046667218208313,40.77894186973572
27,0.015753414913471844,0.9954414053813654,0.6936430926394338,0.907,0.9070000052452087,41.700652837753296
28,0.022357757154612745,0.9951078496775628,0.6380377199059973,0.908,0.9080000519752502,42.17188739776611
29,0.025240287691692738,0.994996664442962,0.7265709481152396,0.8993333333333333,0.8993332982063293,41.57157802581787
30,0.019149783255657887,0.9957749610851679,0.7177420178338264,0.8946666666666667,0.8946666717529297,41.549869537353516
31,0.00999011597369336,0.9973315543695798,0.6877500285735975,0.9076666666666666,0.9076666235923767,41.93881177902222
