epoch,loss,full_ce,onehand_ce,alignment,supcon,hand_type_ce,full_top1,onehand_top1,hand_type_top1,pair_cosine,seconds
0,1.5875847659059066,0.09050608012549395,1.4066076955716822,0.047416043972104874,0.010823845571747403,0.20986281281508207,0.8893333333333333,0.8688679245283019,0.9573333333333334,0.9162363777160645,41.879297494888306
1,0.1760604452782501,0.024035980808470966,0.10783223450939364,0.034960272989724775,0.010001874537316328,0.04115884887590534,0.8896666666666667,0.879245283018868,0.966,0.9309683030446371,31.60623288154602
2,0.0828609064143513,0.015202534610659468,0.03429126031141772,0.029214044657181918,0.00969792324250238,0.01591637139784867,0.9056666666666666,0.9056603773584906,0.9686666666666667,0.9331961924235026,32.03481984138489
3,0.04789868451543906,0.008867901895887577,0.015007927187685108,0.02206938636416935,0.010348818846641713,0.004592935592219837,0.8993333333333333,0.9,0.9713333333333334,0.9379281419118245,33.57438540458679
4,0.04467652840566736,0.011441015376741916,0.009991161595455919,0.021455295899191616,0.010350766541402765,0.0037698944386907463,0.8943333333333333,0.8867924528301887,0.968,0.9407069040934245,32.640167474746704
5,0.040164008329040296,0.008464079286731457,0.010484354749855424,0.019752096587720383,0.009715113237960779,0.002459832484483278,0.887,0.8745283018867924,0.9713333333333334,0.938196429570516,31.8731689453125
6,0.048067704792456915,0.009776272190838707,0.017851034019760372,0.01901576540616981,0.009730226017513194,0.0022580525342484597,0.8966666666666666,0.8650943396226415,0.972,0.9437690022786458,31.825908422470093
7,0.041554786026111665,0.010818099646845327,0.013130355747497383,0.016034085849457008,0.012455718740506095,0.0016333651281077285,0.9003333333333333,0.8820754716981132,0.973,0.9512673918406168,31.809070825576782
8,0.06612396310088746,0.023548730488869726,0.025336054078977797,0.015497060492220577,0.014488755901150898,0.0014662112070583859,0.8946666666666667,0.8886792452830189,0.9746666666666667,0.9503047211964926,31.857285737991333
9,0.0416279558071853,0.011228634276737355,0.014920052806488516,0.013911587544645446,0.01343684565472237,0.0011199855512535242,0.8873333333333333,0.8905660377358491,0.9766666666666667,0.951845085144043,31.74404740333557
10,0.04999114901253203,0.01789705320677428,0.016886550711734193,0.01372895900583384,0.01153252637463197,0.0016266697198926055,0.8856666666666667,0.8594339622641509,0.971,0.9537839558919271,31.644365072250366
11,0.0449511393782912,0.016391932086951572,0.011992906817529753,0.01492499051317788,0.01136017497815316,0.002526464914472933,0.892,0.8773584905660378,0.9756666666666667,0.9511705493927002,32.254093408584595
12,0.0345926546310057,0.010908558134833293,0.008214512996790586,0.013329920011651444,0.014615694893872391,0.003390469382625663,0.8953333333333333,0.8830188679245283,0.975,0.9499628448486328,31.7489595413208
