epoch,train_loss,train_acc,val_loss,val_micro_top1,val_macro_top1,seconds
0,8.94287109375,0.0,8.943303108215332,0.0,0.0,21.12372589111328
1,8.94287109375,0.0,8.943303108215332,0.0,0.0,0.4614400863647461
2,8.94287109375,0.0,7.902706146240234,0.0,0.0,0.489185094833374
3,7.9041748046875,0.0,6.580234527587891,0.09375,0.05000000074505806,0.3522226810455322
4,6.5809326171875,0.09375,5.238150596618652,0.9375,0.5,0.24736404418945312
5,5.2398681640625,0.9375,4.284652233123779,0.9375,0.5,0.2666323184967041
6,4.28558349609375,0.9375,3.6058316230773926,0.9375,0.5,0.3089454174041748
7,3.606201171875,0.9375,3.088344097137451,0.9375,0.5,0.34990549087524414
8,3.08831787109375,0.9375,2.667433977127075,0.9375,0.5,0.3533308506011963
9,2.66754150390625,0.9375,2.3124828338623047,0.9375,0.5,0.32390880584716797
10,2.312469482421875,0.9375,2.009333610534668,0.9375,0.5,0.3382132053375244
11,2.009429931640625,0.9375,1.7512881755828857,0.9375,0.5,0.3472440242767334
12,1.7513427734375,0.9375,1.5348997116088867,0.9375,0.5,0.3092527389526367
13,1.534698486328125,0.9375,1.3572850227355957,0.9375,0.5,0.2789421081542969
14,1.3572540283203125,0.9375,1.2142727375030518,0.9375,0.5,0.2703266143798828
15,1.214202880859375,0.9375,1.1000940799713135,0.9375,0.5,0.30109238624572754
16,1.1002197265625,0.9375,1.0085399150848389,0.9375,0.5,0.3396904468536377
17,1.008697509765625,0.9375,0.9343979358673096,0.9375,0.5,0.32545971870422363
18,0.9343185424804688,0.9375,0.8739122152328491,0.9375,0.5,0.2765491008758545
19,0.8742218017578125,0.9375,0.8242803812026978,0.9375,0.5,0.3179795742034912
20,0.8243637084960938,0.9375,0.7830547094345093,0.9375,0.5,0.27983760833740234
21,0.7828598022460938,0.9375,0.7479842901229858,0.9375,0.5,0.27904629707336426
22,0.7480087280273438,0.9375,0.7172191739082336,0.9375,0.5,0.36914682388305664
23,0.71728515625,0.9375,0.6894406080245972,0.9375,0.5,0.2810549736022949
24,0.6894149780273438,0.9375,0.6637360453605652,0.9375,0.5,0.25604796409606934
25,0.6636886596679688,0.9375,0.6393893957138062,0.9375,0.5,0.28827977180480957
26,0.6395339965820312,0.9375,0.6157618165016174,0.9375,0.5,0.3246622085571289
27,0.6158027648925781,0.9375,0.592279314994812,0.9375,0.5,0.34207820892333984
28,0.5921745300292969,0.9375,0.5683790445327759,0.9375,0.5,0.31986451148986816
29,0.568511962890625,0.9375,0.5434118509292603,0.9375,0.5,0.29679059982299805
30,0.5434494018554688,0.9375,0.5166337490081787,0.9375,0.5,0.25686144828796387
31,0.5166168212890625,0.9375,0.48738807439804077,0.9375,0.5,0.2565000057220459
32,0.4871940612792969,0.9375,0.45540133118629456,0.9375,0.5,0.19733905792236328
33,0.4554443359375,0.9375,0.4212353527545929,0.9375,0.5,0.21614623069763184
34,0.4211845397949219,0.9375,0.3868054449558258,0.9375,0.5,0.2261979579925537
35,0.3867073059082031,0.9375,0.35538169741630554,0.9375,0.5,0.30077648162841797
36,0.35538482666015625,0.9375,0.32984286546707153,0.96875,0.75,0.3505074977874756
37,0.32987213134765625,0.96875,0.30976057052612305,1.0,1.0,0.3395106792449951
